date,temperature_2m_mean
2021-03-04 18:15:00+00:00,15.143168
2021-03-05 18:15:00+00:00,14.988999
2021-03-06 18:15:00+00:00,14.2890005
2021-03-07 18:15:00+00:00,15.264
2021-03-08 18:15:00+00:00,16.861917
2021-03-09 18:15:00+00:00,16.313997
2021-03-10 18:15:00+00:00,16.70358
2021-03-11 18:15:00+00:00,18.007751
2021-03-12 18:15:00+00:00,15.503586
2021-03-13 18:15:00+00:00,15.945249
2021-03-14 18:15:00+00:00,17.186914
2021-03-15 18:15:00+00:00,17.411917
2021-03-16 18:15:00+00:00,17.818167
2021-03-17 18:15:00+00:00,18.420252
2021-03-18 18:15:00+00:00,19.386917
2021-03-19 18:15:00+00:00,18.909834
2021-03-20 18:15:00+00:00,18.697332
2021-03-21 18:15:00+00:00,19.872332
2021-03-22 18:15:00+00:00,21.243168
2021-03-23 18:15:00+00:00,20.064001
2021-03-24 18:15:00+00:00,19.136915
2021-03-25 18:15:00+00:00,19.593168
2021-03-26 18:15:00+00:00,19.816082
2021-03-27 18:15:00+00:00,19.391083
2021-03-28 18:15:00+00:00,19.380667
2021-03-29 18:15:00+00:00,18.639
2021-03-30 18:15:00+00:00,16.668167
2021-03-31 18:15:00+00:00,16.905666
2021-04-01 18:15:00+00:00,17.07025
2021-04-02 18:15:00+00:00,17.784834
2021-04-03 18:15:00+00:00,18.73275
2021-04-04 18:15:00+00:00,19.3265
2021-04-05 18:15:00+00:00,19.499416
2021-04-06 18:15:00+00:00,20.05567
2021-04-07 18:15:00+00:00,20.71192
2021-04-08 18:15:00+00:00,21.011917
2021-04-09 18:15:00+00:00,20.972336
2021-04-10 18:15:00+00:00,21.530664
2021-04-11 18:15:00+00:00,21.859835
2021-04-12 18:15:00+00:00,21.655668
2021-04-13 18:15:00+00:00,21.872335
2021-04-14 18:15:00+00:00,21.230669
2021-04-15 18:15:00+00:00,19.820251
2021-04-16 18:15:00+00:00,18.478586
2021-04-17 18:15:00+00:00,18.74525
2021-04-18 18:15:00+00:00,19.195251
2021-04-19 18:15:00+00:00,21.164003
2021-04-20 18:15:00+00:00,19.58275
2021-04-21 18:15:00+00:00,18.043165
2021-04-22 18:15:00+00:00,20.593166
